GPCR,smiles,STANDARD_VALUE
P34976,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C(C)(C)C)C4=CC=CC=C4C(F)(F)F,-0.114
P34976,CCCC1=NC2=C(C=CN=C2N1CC3=CC=C(C=C3)OC(C4=CC=CC=C4Cl)C(=O)O)C,-1.204
P34976,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CC5=CC=C(C=C5)C6=CC=CC=C6C7=NNN=N7,-1
P34976,CCCC1=NN(C(=O)N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4)F)C5=C(C=CC(=C5)C(=O)NCCC)C(F)(F)F,0.721
P34976,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C)C4=CC=CC=C4Cl,-1.114
P34976,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C5=C(C=C(C=C5)OC)[N+](=O)[O-],0.131
P34976,CCC1=NC2=C(C=C(C=C2)NC(=O)N(C)C(C)C)C(=O)N1CC3=C(C=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC(=O)OCC=C(C)C)F,0.114
P34976,CCCCCCC(C(=O)N1CC(CC1C(=O)O)O)N2C=C(N=C2)NC(=O)C3=CC=CC=C3S(=O)(=O)O,-1.412
P34976,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4Cl)C5=C(C=CC(=C5)C(=O)NCCCC)Cl,0.854
P34976,CC(C)CCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CCC5=CC=CC=C5,-0.491
P34976,CCCC1=NC2=C(N1CC3=CC(=C(C(=C3)Br)O)Br)N=C(C=C2C)C(=O)O,-1.041
P34976,CCOC(=O)C1=C(C(=NN1C2=C(C=CC=C2Cl)Cl)CC3CC3)CC4=CC=C(C=C4)C5=CC=CC=C5C6=NNN=N6,-1.881
P34976,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4Cl)C5=C(C=CC(=C5)NC(=O)CCCC)C,-1.38
P34976,CCCCC1=NC(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CC(=O)OCC)C,-0.666
P34976,CCCC1=NN(C(=C1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)CC(F)(F)F,-0.204
P34976,CCN(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C4=C(C=CC=N4)C(=O)O,-0.3
