GPCR,STANDARD_VALUE,smiles
P50406,-1.778,CN1C2=C(C3CCC(C2)N3)C4=C1C=CC(=C4)S(=O)(=O)C5=CC=C(C=C5)F
P50406,-2.2,C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)CC3=CC=CC=C3)CN
P50406,-0.1,C1CN(CCN1)C2=C3C(=CC=C2)N(CCO3)S(=O)(=O)C4=CC=CC=C4F
P50406,-1.204,CN1CCC(CC1)C2=CN(C3=C2C=C(C=C3)C4=CN=CN=C4)C5=CC=C(C=C5)F
P50406,-1.785,CN1CCN(CC1)C2=C3C(=O)CCN(C3=CC=C2)S(=O)(=O)C4=CC5=CC=CC=C5C=C4
P50406,-3.126,COC1=CC=C(C=C1)C2=CC=CC=C2N3CCN(CC3)CCCCCC(=O)NCC4=CC=C(C=C4)OCCO
P50406,-1.591,C1CN(CCC1NCCN2CCN(CC2)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5)CC6=CC=CC=C6
P50406,-3.303,CC1=C(C=C(C=C1)S(=O)(=O)C2=C3N=C(C4=CC=CC=C4N3N=N2)NCCC5=CC=CC=C5)C
P50406,-3.237,C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=C(C=CC=N3)C=C2)C4=CC=C(C=C4)Cl
P50406,-0.58,CN1CCC(CC1)NC2=C(C=CC(=C2)S(=O)(=O)N3C=CC4=C3C=CC(=C4)OC)OC
P50406,0.4,CC1=CC2=C(N1S(=O)(=O)C3=CC(=CC=C3)Cl)C=CC=C2N4CCNCC4
P50406,-2.146,CC1=CC(=CC=C1)S(=O)(=O)NCCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F
P50406,-3.017,C1COCCN1C2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC(=CC=C5)Cl
P50406,-3.59,COC1=C(C=CC=C1OCCF)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O
P50406,-1.38,CN1CCCC1CC2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=C(C=CC(=C4)Cl)OC
P50406,-2.029,C1CCN(CC1)CCNC(=O)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54.Cl
P50406,-2.227,CN1C2=C(C=C(C=C2)N3CCC(C3)N)C(=N1)S(=O)(=O)C4=CC=CC5=CC=CC=C54
P50406,-4.415,CN1CCC2=C(C1)C3=C(N2)C=CC(=C3)S(=O)(=O)N(C)C
