GPCR,STANDARD_VALUE,smiles
Q96LB2,-1.7,CC(C)C(C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC4=CNC5=CC=CC=C54)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC6=CC=C(C=C6)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC7=CC=C(C=C7)O)C(=O)NCC(=O)O)N
Q96LB2,-1.806,COC1=C(C=C(C=C1)C(=O)OC2C3CCN(C2C(C4=CC=CC=C4)C5=CC=CC=C5)CC3)OC
Q96LB2,-3.029,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OC(=O)NC5=CC(=CC=C5)[N+](=O)[O-]
Q96LB2,-2.827,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OC(=O)NC5=CC=CC6=CC=CC=C65
Q96LB2,-3.76,CC1CN(CC(N1)C)C2=C(C(=O)N(N=C2)CC3=C(C(=CC=C3)NC(=O)C4=CC=C(C=C4)C5=CN=C(C=C5)OC)C)Cl
Q96LB2,-2.505,COC1=CC=CC=C1C(=O)C=C2C3CCN(C2C(C4=CC=CC=C4)C5=CC=CC=C5)CC3
Q96LB2,-1.944,COCCCN(CC1=CC=NC=C1)C(=O)CN2CCN(CC2)C3=NC(=NC=C3)NCCC4=CC=C(C=C4)Cl
Q96LB2,-3.85,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C(=C(C=N4)N5CCNC(C5)C(=O)N)Cl
Q96LB2,-4.42,CC1=C(C=CC=C1NC(=O)C2CCCCC2)CN3C(=O)C(=C(C=N3)N4CCNCC4)Cl
Q96LB2,-1.38,C1CN(CCN1CC(=O)N(CC2=CC=NC=C2)CC3=C(C=NC=C3Cl)Cl)C4=NC(=NC=C4)NCCC5=CC=C(C=C5)Cl
Q96LB2,-3.123,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OC(=O)C5=CC=CC=C5C(F)(F)F
Q96LB2,-0.8,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C=C(C=N4)N5CCNCC5
Q96LB2,-2.6,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CC(=CC=C3)N(C)C)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
