GPCR,smiles,STANDARD_VALUE
P49146,C1COC2=C(O1)C=CC(=C2)C(=O)CSC3=NC4=CC=CC=C4O3,-4.262
P49146,CCOC(=O)C1=CC=C(C=C1)NC(=S)N2CCC(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4,-3.83
P49146,COC1=C(C=C(C=C1)NC(=S)N2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)C(F)(F)F,-3.784
P49146,CC1=CC(=C(C=C1)C)SCC2=NOC(=C2C(=O)O)C(=O)NCC3CCCO3,-4.421
P49146,C1=CC=C(C=C1)C(=O)C(=NNC2=CC=C(C=C2)Cl)C#N,-3.997
P49146,CCN(CC)C(=O)C(C1=CC=CC=C1)N2CCN(CC2)C3=C(C=C(C=C3)NC(=O)CC4CC4)F,-2.477
P49146,CCNC(=O)C(C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)NC3=CC=CC=C3C4=CC=CC=C4)F)C5=CC=CC=C5,-1.431
P49146,CCC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(CCCNC(=[NH2+])N)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(CCSC)NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C5CCCN5C(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C6CCCN6C(=O)C(CC7=CC=C(C=C7)O)NC(=O)C(C(C)C)NC(=O)C8CCCN8C(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C9CCCN9C(=O)C(C)N,-2.699
P49146,CC(=O)N1CCC2=C1C=C(C=C2)N(C3CCN(CC3)CC4=CC=CC=C4)C(=O)C=CC5N=CC=N5,-4.23
P49146,CCC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CC3=CNC=N3)NC(=O)C(CCCN=C(N)N)NC(=O)CCCCCNC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C4CCCN4C(=O)C(CC5=CC=C(C=C5)O)N,0
P49146,C1=CC(=CC(=C1)[N+](=O)[O-])NN=C(C(=O)C2=CC=C(C=C2)Br)C(=O)C(F)(F)F,-4.083
P49146,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(CCCNC(=NC(=O)NCCOCCOCCNC(=O)CCC(=O)NCCN(CCN)CCNC(=O)CCC(=O)NCCOCCOCCNC(=O)N=C(N)NCCCC(C(=O)NCC3=CC=C(C=C3)O)NC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5)N)C(=O)NCC6=CC=C(C=C6)O,-3.255
P49146,CC(=O)N1CCC2=C1C=C(C=C2)N(C3CCN(CC3)CCC4CCCC4)C(=O)C=CC5=CC=CC(=C5)C#N,-2
P49146,COC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C(=N2)C(=O)NC4=CC5=C(C=C4)OCO5,-3.856
P49146,CC(C)CC(C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CC3=CN=CN3)NC(=O)C(CCCN=C(N)N)NC(=O)C4=CC=CC=C4N,-0.544
P49146,CNC(=O)C1=CC=C(C=C1)NC(=S)N2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,-3.152
P49146,CCC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CC3=CN=CN3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C6CCCN6C(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C7CCCN7C(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)C8CCCN8C(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C9CCCN9C(=O)C(CC1=CC=C(C=C1)O)N,0.155
P49146,CN(C)S(=O)(=O)C1=CC=C(C=C1)NC(=S)N2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=C(C=C4)F)O,-1.949
P49146,CC1=C(NC2=C1C=C(C=C2)[N+](=O)[O-])C(=O)O,-3.845
P49146,C1CCC(CC1)NC(=O)CN(CC2=CC3=C(C=C2)OCO3)C(=O)CSC4=NC5=CC=CC=C5O4,-4.137
P49146,CCCC(C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CCCCC(C(=O)NC(CC4=CNC5=CC=CC=C54)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCC)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC6=CC=C(C=C6)O)C(=O)N)N)N,-2.663
