GPCR,smiles,STANDARD_VALUE
P35351,CCC1=NC2=C(N1CC3=CC4=C(C=C3)N(C=C4)C(=O)C5=CC=CC(=C5)C6=NNN=N6)N=C(C=C2C)C,-2.114
P35351,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4CC4)C(=O)OC,-3.903
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4)C5=C(C=CC=C5Cl)Cl,-2.699
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4Cl)C5=C(C=CC(=C5)NC(=O)C(C)C)Cl,-0.643
P35351,CCC1=NC2=C(N1CC3=CC(=C(C=C3)OC(C4=CC=CC=C4)C(=O)O)CC5=CC=CC=C5)N=C(C=C2C)C,-2.903
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4Cl)C5=C(C=CC(=C5)C(=O)N(C)CCCC)Cl,-1.763
P35351,CC1CN(C(CN1C(=O)N(C2=CC=CC=C2)C3=CC=CC=C3)C)C(=O)N(C4=CC=CC=C4)C5=CC=CC=C5,-1
P35351,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CS3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)CNC,0.959
P35351,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)N(C=C2)C(C6=CC=CC=C6)C(=O)N7CCCCC7,-2.342
P35351,CC1=CC=CC2=C1CC(N(C2)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)OC,-3.699
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4CCCO4)C5=CC=CC=C5C(F)(F)F,-2.255
P35351,CCCCC1=NC2=C(C=C(C=C2)NC(=O)N(C)C(C)C)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,-3.653
P35351,CCCCC1=NN(C(=O)N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)OC(C)(C)C)F)C4=C(C=CC(=C4)C(=O)NCCCC)Cl,0.569
P35351,CCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)N(C=C2)C(C6=CC=CC=C6)C(=O)OC(C)C,-2.176
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=C(C=CS4)C)C5=CC=CC=C5C(F)(F)F,-1.903
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)CC(C)(C)C)C4=CC=CC=C4C(F)(F)F,-1.663
P35351,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CS4)C5=CC=CC=C5C(F)(F)F,-2.732
P35351,CCCCC1=NN(C(=O)N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4F)F)C5=C(C=CC(=C5)NC(=O)CC)C(F)(F)F,0.382
