GPCR,STANDARD_VALUE,smiles
P32246,-2.748,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCNS(=O)(=O)C3=CC=C(C=C3)F
P32246,-0.9,CC(C)C(C(=O)N1CCC(C(C1)(C)C)(C2=CC=C(C=C2)Cl)O)NC(=O)C3=CC(=C(C=C3)F)O
P32246,-3.462,CC(C)CC(CC(C(CC1=CC=C(C=C1)OC)NC(=O)C2=NC3=CC=CC=C3N=C2)O)C(=O)NC
P32246,-3.695,CC1=CN=C2C(=C1)C=CC3=CC(=CN=C32)C
P32246,-2.964,CC1CN(CCN1C(=O)COC2=CC=CC=C2NC3=C(C(=O)C3=O)NC)CC4=CC=C(C=C4)F
P32246,0.046,CC[N+]1(CCC(CC1)NC(=O)C2C3=C(C=CC(=C3)Cl)OC4=C2C=C(C=C4)Cl)CC5=CCCCCCC5.[I-]
P32246,-3.279,C1CN(CCC1NC(=O)CSC2=NC3=C(S2)C=C(C=C3)N)CC4=CC(=C(C=C4)Cl)Cl
P32246,0.194,CC(=O)NC1=C(C=C(C=C1)F)OCC(CN2CCC3(CC2)CC4=C(O3)C=CC(=C4)Cl)O
P32246,-3.415,CC(C)CC(CC(C(CC1=CC=C(C=C1)F)NC(=O)C2=NC3=CC=CC=C3N=C2)O)C(=O)NC
P32246,-0.699,CCCC[N+]1(CCC(CC1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24)CC5CCCCCCC5
P32246,-1.851,CC(C)(C)NC(=O)NCC(CCCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
P32246,-0.987,C=CC[N+]1(CCC(CC1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24)CC5CCCCCCC5
P32246,-1.255,CC(C)C(C(=O)N1CCC(CC1)C2=CC=C(C=C2)Cl)NC(=O)C3=NC4=CC=CC=C4S3
P32246,-3.661,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(C#N)C3=CC(=CC=C3)O
P32246,-2.423,C1CC(CCN(C1)C2CCN(CC2)S(=O)(=O)C3=CC=CC=C3Cl)(C4=CC=C(C=C4)Cl)O
P32246,-2.314,C1CN(CCC1(C2=CN=CC=C2)O)CCCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4
P32246,-0.653,CC(C)C(C(=O)N1CCC(C(C1)(C)C)(C2=CC=C(C=C2)Cl)O)NC(=O)NCC(C)O
P32246,-0.954,CC(C)C(C(=O)N1CCC(C(C1)(C)C)(C2=CC=C(C=C2)Cl)O)NC(=O)N3CCCC3
P32246,-2.555,COC1=CC=C(C=C1)C(CCCN2CCC(CC2)(C3=CC=C(C=C3)Cl)O)C#N
P32246,-3.009,C1CN(CCC1(C2=CC=CS2)O)CCCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4
P32246,-0.903,C[N+]1(CCC(CC1)(C2=CC=C(C=C2)Cl)O)CCCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4.[I-]
P32246,-2.908,CC1=NN(C(=N1)C2CCCN2C(=O)NC3=CC=C(C=C3)C(F)(F)F)CC4=CC=C(C=C4)Cl
P32246,-3.621,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(CCCCl)(C#N)C3=CC=CC=C3
P32246,-2.956,C[N+]1(CCC(CC1)(C2=CC=C(C=C2)Cl)O)CCCC(C3=CC=CC=C3)C4=CC=CC=C4
P32246,-1.875,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCNS(=O)(=O)C3=CC=CC=C3Cl
P32246,-2.969,CC1(CN(CCC1(C2=CC=C(C=C2)Cl)O)C(=O)C3CCCCC3NC(=O)CCN4CCCCC4)C
P32246,-0.591,C[N+]1(CCC(CC1)NC(=O)C2C3=C(C=CC(=C3)Br)OC4=C2C=C(C=C4)Br)CC5CCCCCCC5.[I-]
P32246,-3.602,CC1=C(C=CC(=C1)CN(C)C(=O)C2CCCN2C(=O)NC3=CC=C(C=C3)Cl)Cl
P32246,-0.301,CCC(C)NC(=O)NC(C(C)C)C(=O)N1CCC(C(C1)(C)C)(C2=CC=C(C=C2)Cl)O
P32246,-4.398,CC(C)C(C(=O)N1CCC(C(C1)(C)C)(C2=CC=C(C=C2)Cl)OC)NC(=O)C3=CC=C(C=C3)Cl
P32246,-3,C1=CC(=C(C=C1F)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)CN3C=CN=N3
P32246,-2.519,C1CCC(CC1)(C(CC(C(CC2=CC=CC=C2)NC(=O)C3=NC4=CC=CC=C4N=C3)O)C(=O)N)O
P32246,-0.845,CC1=C(C(=NN1CC(=O)N2CCN(CC2)C3=CC(=C(C=C3)Cl)OC)C(F)(F)F)I
P32246,-3.672,CC(C1=CC=C(C=C1)Cl)N(C)C(=O)C2CCCN2C(=O)NC3=CC=C(C=C3)Cl
P32246,-1.74,CC(C)C(C(=O)N1CCC(CC1)C2=CC=C(C=C2)Cl)NC(=O)C3=CC=CC=C3
P32246,-2.748,CC1CN(CCN1C(=O)C2=CC3=CC(=CC(=C3N2)NC(=O)C)Cl)CC4=CC=C(C=C4)F
P32246,-0.114,CN(C)C1CCN(C1)C(=O)C2=C(C=C(C=C2)O)OCC(CN3CCC4(CC3)CC5=C(O4)C=CC(=C5)Cl)O
P32246,-2.568,C1CCCC(CCC1)C[N+]2(CCC(CC2)NC(=O)C3C4=CC=CC=C4OC5=CC=CC=C35)CC6=CC=CC=C6.[Br-]
